u63|63-1002
u179|3470035228
u180|3470035227
u200|
u200|X000904373
u515|515-2002
u563|3470030582
u603|
u603|3470022884
u870|X002306676
u1346|X001782044
u1615|X001013963
u1637|X001444907
u1665|3470047509
u2026|2026-2001
u2086|2086-2001
u2345|X001100676
u2345|X001910298
u2345|X001910300
u2434|3470009043
u2705|
u2722|X000908361
u2856|3470044330
u3056|3470032489
u3064|3470047096
u3430|3470056144
u3702|X000787641
u3755|3470035229
u3894|3470010988
u4046|3470035230
u4623|X000863156
u4821|X000982283
u4844|X000823063
u5006|
u5275|3470013245
u6094|X000907253
u6141|6141-1001
u6394|6394-2001
u6702|3470142166
u6704|6704-1001
u6704|6704-1002
u6733|
u6744|3470006372
u6779|X000910094
u6805|3470044305
u6888|X004334582
u6960|X000952943
u7049|X001444938
u7724|3470037867
u7923|X000821232
u8304|8304-1002
u8520|3470003425
u8589|3470055021
u8646|X001573360
u8729|3470072569
u8929|X000628574
u9197|X000878445
u9268|3470013247
u9475|3470045284
u9585|3470045941
u10002|X000825918
u10094|
u10109|X004364468
u10154|X000957475
u10515|X001444932
u10731|3470045111
u10878|3470035535
u11375|3470045263
u11389|3470039258
u11609|X001444988
u11862|3470041654
u12925|X000972852
u12956|3470007095
u12960|3470013044
u13117|X001499823
u13360|X004364469
u13427|3470045296
u13427|3470045297
u13427|3470045298
u13427|3470045299
u13571|3470045104
u13810|X000870573
u14408|14408-1002
u14760|X000504403
u15192|15192-10001
u16070|X000850473
u16203|X000881568
u16297|
u16297|3470018093
u16324|X000822190
u16660|16660-1002
u17015|3470003329
u17018|
u17214|X000934825
u17304|X000736921
u17365|3470022989
u17902|X000934749
u17909|3470032875
u18242|X000992519
u18320|X001572557
u18561|X001445175
u19012|3470023709
u19467|X001570792
u19657|3470022877
u19761|19761-2001
u20187|3470059942
u20642|3470045887
u21241|X000819898
u21638|X001572635
u21938|21938-1001
u22062|X001515216
u22062|X001515217
u23226|23226-2002
u23314|X000747672
u23489|
u24810|3470046964
u25048|3470007104
u25216|3470022892
u25359|3470002238
u25361|3470044362
u25434|3470013167
u25595|X000747110
u26017|X001572834
u26321|3470006964
u26371|3470033043
u26426|26426-1002
u26493|3470023306
u26687|26687-1002
u26707|3470059797
u26708|
u26708|3470010315
u26728|X000903687
u26755|X000883468
u26813|X001068859
u26969|X000951915
u26976|X004915262
u26976|X004915263
u26976|X004915265
u26976|X004915266
u26976|X004915267
u26976|X004915268
u26976|X004915269
u26976|X004915270
u26976|X004915271
u26976|X004915272
u26976|X004915273
u26976|X004915274
u26976|X004915275
u26976|X004915276
u26976|X004915277
u26976|X004915278
u26976|X004915279
u27639|X001572574
u27728|X000927707
u27863|3470006686
u27978|3470056334
u28238|
u28482|
u28490|X004097279
u28747|28747-1002
u29162|X000786826
u29206|X000928575
u29235|X001573090
u29371|X000667362
u29414|3470002145
u30238|X000883104
u30632|30632-1002
u30823|X000870800
u31161|3470040671
u31496|3470013946
u32027|32027-2001
u32134|
u32868|X000907386
u32889|X000786297
u32941|X030045138
u33124|X000908283
u33272|
u34581|3470002614
u34788|X000867338
u34841|3470035865
u34858|X001412210
u35036|
u35789|3470035741
u35789|3470035742
u35895|3470025720
u35940|3470330107
u36138|36138-19001
u36156|X001287602
u36251|X001444990
u36288|X000790209
u36352|3470031604
u36352|3470031605
u36551|X001100690
u36778|36778-2001
u36944|3470003636
u37005|37005-1002
u37420|
u37434|
u37483|37483-12001
u37676|X001492222
u37970|3470059693
u38032|
u38032|X000851862
u38161|X001079058
u38305|3470006979
u38525|3470035659
u38796|38796-18001
u38878|
u39568|X000906666
u39570|39570-1002
u39570|X000914194
u39655|39655-7001
u39826|X004136978
u39986|39986-1001
u40174|
u40174|X000983864
u40191|
u40356|X000953769
u40764|
u40764|X001035516
u40930|3470002295
u40964|3470056342
u41072|41072-1002
u41232|X000931559
u41310|X000953393
u41400|41400-1001
u41899|
u41905|
u42622|X000931705
u43061|X000320104
u43209|X001572860
u43266|3470040544
u43319|X000929397
u43330|
u43381|X000930302
u43391|3470006140
u43404|43404-1002
u43561|3470031998
u43627|43627-1002
u43966|X000948217
u44187|3470006958
u44225|44225-1002
u44417|X001033384
u44521|
u44521|X001065222
u44567|X001064781
u44802|3470012237
u44882|X001013856
u44887|3470016598
u45086|
u45164|X001607654
u45658|45658-28001
u45909|3470029839
u46053|3470059422
u46269|X000944571
u46362|3470047419
u46704|X001572605
u47824|X000948617
u48212|X001012053
u48280|X000931536
u48581|X000972627
u48739|X001059742
u48922|X001060361
u49162|3470045213
u49262|3470007021
u49368|X001457400
u49522|X001572389
u49815|X000903277
u49898|X000969792
u49905|3470338354
u50008|3470031913
u51074|X000992891
u51217|X000906170
u51346|3470003689
u51405|
u51405|X000921545
u51771|
u52066|X001573392
u52586|3470044340
u52662|
u52850|52850-2002
u52850|52850-3002
u52850|52850-4002
u52850|52850-5002
u52850|52850-6002
u53650|3470022910
u54089|3470002698
u54417|3470022668
u54921|X000909052
u55042|35007000001176
u55470|3470003640
u55609|
u55611|3470035083
u55745|X001444743
u56005|X001445024
u56270|3470022821
u56644|X000910940
u58046|X000867195
u58442|X000907073
u58601|
u59233|X000928213
u60188|X002697512
u60564|X004925037
u60610|X000849655
u60766|3470002086
u61075|X000909997
u61128|3470047255
u61145|61145-1002
u61172|X001444924
u61565|X004951886
u61872|3470016358
u62266|X002736602
u63058|X000904172
u63240|63240-1003
u63411|
u63584|
u63656|3470023982
u63973|63973-1002
u64175|X001572608
u64202|64202-17001
u64435|64435-2001
u64441|64441-2001
u64904|X000920073
u64960|3470013933
u64981|X001013967
u65232|3470016413
u65255|X001059946
u65311|3470032578
u65490|X001017339
u65664|3470018790
u65676|3470018040
u65708|X000904439
u66563|3470039210
u67241|X000851348
u67403|X000969497
u67518|
u67518|X001091493
u67710|
u67710|67710-1002
u68372|68372-1001
u69144|X001013546
u69147|X001044338
u69367|X001445037
u69475|69475-14001
u69876|69876-1002
u70056|X000994522
u70312|X001372873
u70625|3470031359
u70959|70959-2001
u71184|71184-9001
u71518|X001572417
u72203|3470006011
u72234|3470006610
u72234|72234-1002
u72279|
u72279|72279-1002
u73075|3470038348
u73840|X001059536
u74084|X000998795
u75042|3470023198
u75777|75777-1002
u75860|3470044284
u75867|
u76077|3470031468
u76592|
u76592|X001065666
u76633|3470006772
u76798|X001030383
u76892|3470016153
u76892|3470016154
u77702|77702-2001
u77765|X030686334
u77765|X030686336
u77765|X030686338
u77765|X030686341
u77765|X030686343
u77931|X001065325
u77991|X001109221
u78025|3470017340
u78068|X001080338
u78429|78429-1002
u78754|3470031192
u78755|3470006035
u78850|X001066506
u78956|
u79135|X001499149
u79199|X001445170
